NAME,B01001_001E,B01001_002E,B01001_026E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B11001_001E,B11001_002E,B15003_001E,B15003_017E,B15003_021E,B15003_023E,B19013_001E,B19001_002E,B19001_017E,B19301_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B12001_001E,B12001_003E,B12001_009E,B12001_011E,B16001_001E,B16001_002E,B16001_003E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,B25035_001E,B25071_001E,B27001_001E,B27001_005E,B27001_008E,B08006_001E,B08006_002E,B08013_001E,B28002_001E,B28002_002E,B28002_004E,B19052_001E,B19083_001E,state,county
Area name,Total population,Male population,Female population,Median age,White alone,Black or African American alone,Asian alone,Total households,Family households,Population 25 years and over,High school graduate,Bachelor’s degree,Graduate or professional degree,Median household income,"Households earning less than $10,000","Households earning $200,000 or more",Per capita income,Unemployed individuals,Labor force,Population below poverty level,Total population for poverty status,Individuals with a hearing difficulty,Individuals with a vision difficulty,Individuals with a cognitive difficulty,Individuals with an ambulatory difficulty,Population 15 years and over,Now married,Divorced,Widowed,Population 5 years and over,English only,Spanish-speaking population,Median home value,Median gross rent,Owner-occupied housing units,Renter-occupied housing units,Median year housing unit was built,Monthly housing costs as a percentage of household income,Total health insurance coverage status,Male with public health insurance,Female with private health insurance,Total workers 16 years and over,"Car, truck, or van - drove alone",Travel time to work (minutes),Total households,Households with internet access,Households with broadband internet,Household income from Social Security,Gini index of income inequality,,
"Jefferson County, West Virginia",56506,27972,28534,41.1,49263,3504,769,20891,14775,39121,9779,2692,3819,80430,839,1952,36305,1775,29458,5336,54907,0,379,340,1572,46093,7013,503,23520,,,,252300,998,15968,4923,1987,28.4,56144,59,229,27051,24131,967480,20891,17868,17823,20891,0.4108,54,037
"Logan County, West Virginia",33154,16437,16717,43.8,32050,584,29,13816,9623,24066,9264,1641,795,36168,2043,210,21936,1648,11475,8268,32531,0,153,350,2364,27532,3411,665,13954,,,,89100,662,10037,3779,1977,26.5,32609,48,129,9471,9019,253515,13816,10997,10991,13816,0.4887,54,045
"Pendleton County, West Virginia",7001,3585,3416,50.8,6689,233,0,3174,2100,5277,2414,309,214,42312,225,48,25059,134,3076,1047,6901,0,26,34,274,5962,766,154,2898,,,,122800,513,2555,619,1981,18.3,6879,8,27,2926,2594,87195,3174,1896,1865,3174,0.4476,54,071
"Harrison County, West Virginia",67908,33109,34799,42.2,64720,1069,396,27098,17751,48274,15961,3819,3436,53022,1875,928,28879,1896,32254,10186,66534,37,703,587,2832,55852,8249,945,28896,,,,117900,767,20035,7063,1963,27.8,67242,32,280,29808,27582,658090,27098,21447,21343,27098,0.4467,54,033
"Ohio County, West Virginia",42143,20307,21836,43.6,39166,1641,300,17193,9862,29750,9055,2255,2557,50584,1511,817,32429,1242,20666,4994,39766,17,101,318,1159,35506,6076,590,18573,,,,123900,667,12002,5191,1953,30.2,41604,26,80,18817,16708,359225,17193,12391,12349,17193,0.5061,54,069
"Calhoun County, West Virginia",7295,3523,3772,48.1,7223,3,0,2826,1955,5432,2289,187,174,38382,255,65,20447,345,2460,1567,7216,0,42,82,375,6080,616,107,3095,,,,83500,611,2229,597,1975,23.2,7272,0,0,2060,1961,72500,2826,2022,1960,2826,0.4585,54,013
"Morgan County, West Virginia",17709,8755,8954,47.9,16914,193,0,7185,4910,13213,4434,1153,763,51745,321,146,28127,599,8513,1386,17542,0,0,33,466,15079,1845,445,7595,,,,183200,732,5983,1202,1986,31.0,17567,0,108,7925,7282,278390,7185,5556,5509,7185,0.4035,54,065
"Raleigh County, West Virginia",75252,37679,37573,42.2,66312,5816,731,31203,21135,53886,17415,3694,3114,43748,2567,595,25026,2516,31073,13464,72324,98,714,816,3722,62127,8596,1195,31200,,,,108700,693,22893,8310,1974,28.9,72971,59,324,27879,25597,635695,31203,23861,23782,31203,0.4642,54,081
"Putnam County, West Virginia",56610,27875,28735,41.8,54592,801,438,21613,15754,39946,12679,3856,3237,60097,1076,1142,31587,986,26371,5477,56058,0,261,251,1440,46253,5963,827,23732,,,,167300,831,17690,3923,1986,25.9,56108,55,110,25175,23801,617460,21613,16751,16650,21613,0.4372,54,079
"Barbour County, West Virginia",16633,8170,8463,41.7,15939,146,128,6324,4059,11262,4494,797,527,38459,534,90,22899,549,7180,3313,15927,0,123,127,729,13907,2215,162,7124,,,,110300,549,4556,1768,1975,25.7,16466,6,14,6401,5732,164820,6324,4412,4410,6324,0.4770,54,001
"McDowell County, West Virginia",18661,9595,9066,45.0,16628,1551,13,7607,5216,13663,4853,450,205,27682,1182,101,15047,541,4323,5704,17206,0,237,270,1438,15488,2480,388,7586,,,,35000,575,5985,1622,1960,34.5,17248,0,7,3700,3476,97730,7607,5014,4987,7607,0.4655,54,047
"Wayne County, West Virginia",40303,19608,20695,44.1,39330,347,113,15124,9959,28880,9957,1805,1248,37988,2296,371,21553,896,14218,9323,40112,0,400,871,2134,33447,4909,670,17251,,,,99100,662,11110,4014,1976,29.6,40159,69,156,13087,11981,341360,15124,9898,9805,15124,0.4952,54,099
"Jackson County, West Virginia",28907,14345,14562,43.7,28219,109,97,11334,7781,20592,8011,2096,921,47837,1206,390,25341,462,11554,5061,28624,27,199,418,1239,23804,3247,415,12141,,,,130600,650,8697,2637,1979,24.1,28730,41,55,10881,10208,301875,11334,8457,8374,11334,0.4552,54,035
"Mercer County, West Virginia",59919,28419,31500,43.1,54664,3838,362,25216,16346,42496,12812,2590,2105,40784,2236,376,22212,1749,23879,11590,58564,0,672,565,3304,49717,6821,913,26483,,,,96700,672,17529,7687,1974,31.1,59450,59,184,21728,20440,466860,25216,18060,17972,25216,0.4357,54,055
"Upshur County, West Virginia",24502,12201,12301,41.7,23741,500,43,9713,6357,16620,6613,774,921,40322,1101,116,24070,756,10715,4769,23106,0,80,180,641,20326,3058,397,10243,,,,119000,699,7157,2556,1978,30.1,24289,32,101,9642,8502,238185,9713,7138,7130,9713,0.4771,54,097
"Webster County, West Virginia",8386,4171,4215,47.2,8352,2,0,3781,2546,6150,2255,168,273,34927,483,40,22054,350,3293,2170,8324,0,70,70,382,7012,802,102,3544,,,,69500,573,2744,1037,1973,35.3,8329,2,27,2883,2622,81895,3781,2577,2569,3781,0.4727,54,101
"Berkeley County, West Virginia",115329,56868,58461,38.8,100097,9039,1242,44221,30145,79428,24322,6889,4938,62515,2054,1428,29994,3535,59411,13898,114124,35,1227,1097,3337,92804,13499,1302,47338,,,,182200,995,33000,11221,1995,27.8,114881,264,265,55114,51779,1624225,44221,37119,36857,44221,0.3998,54,003
"Fayette County, West Virginia",43576,21916,21660,44.3,40722,2274,24,17441,11707,31426,11187,2111,1056,41394,1659,209,21914,1272,16683,8619,42028,0,497,438,2929,36050,5304,834,17903,,,,91300,639,13476,3965,1972,31.2,42485,0,92,15112,13804,451655,17441,12847,12747,17441,0.4365,54,019
"Iron County, Wisconsin",5687,2891,2796,54.9,5492,7,28,2898,1660,4592,1372,652,187,43798,175,39,28857,188,2699,809,5558,10,15,52,242,5036,604,127,2479,,,,119000,538,2247,651,1972,31.6,5583,0,13,2462,2191,50465,2898,2244,2186,2898,0.4340,55,051
"Clark County, Wisconsin",34579,17489,17090,37.4,33359,164,138,12791,8724,21695,7883,2372,612,54012,553,343,25382,452,16495,4096,33916,6,226,244,876,26110,3822,333,12925,,,,127200,623,10030,2761,1969,21.6,34104,648,1198,15719,12665,304415,12791,9241,9086,12791,0.4174,55,019
"St. Croix County, Wisconsin",88732,44328,44404,38.9,85085,710,869,34182,24389,59785,13201,8585,4804,84756,852,2547,39287,1017,49958,4601,87846,9,430,430,1588,70382,9683,487,35458,,,,244500,962,26243,7939,1991,26.2,88008,117,281,48356,44157,1243870,34182,29315,29057,34182,0.4006,55,109
"Oconto County, Wisconsin",37646,19189,18457,46.9,36251,173,146,16036,10881,27613,10591,3169,992,60908,633,445,30927,518,19588,3396,37196,3,210,229,1060,31419,4097,536,15430,,,,157000,683,13263,2773,1981,24.0,37389,41,86,18757,17136,468860,16036,12911,12771,16036,0.3939,55,083
"Lincoln County, Wisconsin",27744,13922,13822,47.7,26854,204,109,12625,8117,20607,7024,2576,860,58541,594,276,30972,566,14697,2441,27018,0,76,192,768,23688,3123,428,11775,,,,139700,662,9858,2767,1973,26.5,27164,32,42,13808,12701,300150,12625,9938,9844,12625,0.3944,55,069
